DraftBudget,Year,OwnerID
$101.00 ,1/1/2024,2
$159.00 ,1/1/2024,5
$180.00 ,1/1/2024,10
$89.00 ,1/1/2024,11
$176.00 ,1/1/2024,9
$198.00 ,1/1/2024,1
$218.00 ,1/1/2024,7
$135.00 ,1/1/2024,3
$171.00 ,1/1/2024,12
$199.00 ,1/1/2024,4
$213.00 ,1/1/2024,8
$179.00 ,1/1/2024,6
$181.00 ,1/1/2025,2
$192.00 ,1/1/2025,5
$150.00 ,1/1/2025,10
$217.00 ,1/1/2025,11
$195.00 ,1/1/2025,9
$194.00 ,1/1/2025,1
$222.00 ,1/1/2025,7
$151.00 ,1/1/2025,3
$181.00 ,1/1/2025,12
$155.00 ,1/1/2025,4
$123.00 ,1/1/2025,8
$172.00 ,1/1/2025,6
